순위,시군구,위치,학교명,학교유형,응시자수,평균,국어,영어,수학,특목고진학률,대학교진학률,진학수,졸업자수,위도,경도
1,강남구,강남구 수서동,대왕중학교,중학교,298,97.6,99,97.7,96.3,1.8,,5,265,37.48346033,127.0873381
2,강남구,강남구 압구정1동,압구정중학교,중학교,152,97.6,98.7,98,96.1,8.8,,11,124,37.53024224,127.0330027
3,강남구,강남구 대치동,대청중학교,중학교,329,97.1,97,98.8,95.7,3.8,,12,315,37.49043056,127.0583501
4,강남구,강남구 대치동,대명중학교,중학교,343,95.2,97.7,97.4,90.7,3.8,,12,313,37.50633641,127.0609849
5,강남구,강남구 압구정동,신사중학교,중학교,141,94.8,97.2,94.3,92.9,3.5,,5,141,37.52469784,127.0211914
6,강남구,강남구 대치동,단국대학교사범대학부속중학교,중학교,191,94.6,94.2,94.8,94.8,1.6,,3,181,37.49561749,127.0577682
7,강남구,강남구 역삼동,역삼중학교,중학교,376,94.3,98.2,94.2,90.7,5.8,,23,393,37.49593388,127.0488444
8,강남구,강남구 도곡동,도곡중학교,중학교,221,94.2,96.8,95.5,90.5,5.7,,12,208,37.49230771,127.0452179
9,강남구,강남구 개포동,구룡중학교,중학교,230,94.2,97.4,95.2,90,3.7,,9,239,37.48615258,127.056121
10,강남구,강남구 역삼동,진선여자중학교,중학교,334,93.7,97.3,94,89.8,2.8,,9,321,37.50232303,127.0482866
11,강남구,강남구 삼성동,언주중학교,중학교,325,92.1,95.7,93.9,86.8,4.9,,15,306,37.51465316,127.0466832
12,강남구,강남구 도곡동,숙명여자중학교,중학교,283,91.8,96.8,92.9,85.9,4.2,,12,283,37.49147536,127.0526126
13,강남구,강남구 삼성동,봉은중학교,중학교,144,90.5,94.4,90.3,86.8,0.9,,1,102,37.51897667,127.0623894
14,강남구,강남구 역삼동,휘문중학교,중학교,265,89.9,92.1,89.8,87.9,1.5,,4,260,37.50528945,127.0619841
15,강남구,강남구 도곡동,대치중학교,중학교,195,88.5,93.8,89.7,82.1,4.2,,8,187,37.48457751,127.0470652
16,강남구,강남구 도곡동,은성중학교,중학교,138,88.1,94.2,89.1,81.2,2.1,,3,138,37.48837857,127.0352324
17,강남구,강남구 개포동,개원중학교,중학교,267,87,92.9,85,83.1,0.5,,1,181,37.49163975,127.0714157
18,강남구,강남구 청담동,청담중학교,중학교,162,85.6,93.2,87,76.6,5.5,,6,108,37.52865979,127.0448101
19,강남구,강남구 자곡동,세곡중학교,중학교,247,84.6,92.7,88.3,72.9,3,,8,263,37.47198073,127.0918862
20,강남구,강남구 일원2동,중동중학교,중학교,275,84.6,88.4,83.3,82.2,2,,4,199,37.48851679,127.078612
21,강남구,강남구 논현동,언북중학교,중학교,118,83.3,94.1,83.9,72,1,,1,91,37.51942855,127.0331263
22,강남구,강남구 신사동,신구중학교,중학교,127,82.6,89,80.3,78.7,8.6,,10,115,37.52744229,127.0316727
23,강남구,강남구 수서동,수서중학교,중학교,135,80,92.6,80.8,66.7,0.6,,1,148,37.49120377,127.1023799
1,강남구,강남구 도곡동,숙명여자고등학교,고등학교,589,96.8,97.6,99.5,93.5,,50.1,193,385,37.49147536,127.0526126
2,강남구,강남구 압구정동,현대고등학교,고등학교,450,95,94,97.3,93.8,,47.2,187,396,37.5254805,127.0223773
3,강남구,강남구 대치동,휘문고등학교,고등학교,462,94.8,93.1,96.5,94.8,,43.7,198,453,37.50528945,127.0619939
4,강남구,강남구 일원동,중동고등학교,고등학교,416,93.8,93.5,95.7,92.3,,50.1,195,389,37.49371459,127.0809122
5,강남구,강남구 도곡동,은광여자고등학교,고등학교,397,92.3,94.2,97.5,85.4,,69,167,242,37.48837857,127.0352324
